debate_id,position,name,score
1,1,Debater 2,195
1,2,Debater 3,183
1,3,Debater 1,124
1,3,Debater 4,124
2,1,Debater 5,206
2,2,Debater 4,186
2,3,Debater 3,135
2,4,Debater 1,121
2,5,Debater 2,117
3,1,Debater 3,182
3,2,Debater 4,177
3,3,Debater 1,167
3,4,Debater 5,145
3,5,Debater 2,140
5,1,Debater 5,157
5,2,Debater 3,135
5,3,Debater 4,132
5,4,Debater 2,104
5,5,Debater 1,99
6,1,Debater 1,192
6,2,Debater 3,168
6,3,Debater 2,148
6,4,Debater 4,103
7,1,Debater 3,149
7,2,Debater 2,141
7,3,Debater 4,129
7,4,Debater 1,91
8,1,Debater 1,158
8,2,Debater 2,148
8,3,Debater 3,132
9,1,Debater 1,209
9,2,Debater 4,199
9,3,Debater 2,184
9,4,Debater 3,84
10,1,Debater 4,218
10,2,Debater 2,210
10,3,Debater 1,196
10,4,Debater 3,162
11,1,Debater 5,202
11,2,Debater 3,200
11,3,Debater 1,182
11,4,Debater 2,168
11,5,Debater 4,122
12,1,Debater 3,204
12,2,Debater 4,202
12,3,Debater 1,152
12,4,Debater 2,142
13,1,Debater 3,204
13,2,Debater 2,187
13,3,Debater 1,154
14,1,Debater 2,182
14,2,Debater 5,169
14,3,Debater 4,150
14,4,Debater 3,120
14,5,Debater 1,104
16,1,Debater 3,166
16,2,Debater 2,120
16,3,Debater 5,118
16,4,Debater 4,111
16,5,Debater 1,99
17,1,Debater 2,181
17,2,Debater 3,166
17,3,Debater 4,149
17,4,Debater 1,135
18,1,Debater 2,202
18,2,Debater 3,193
18,3,Debater 1,191
18,4,Debater 4,175
