debate_id,debater_name,debater_position,debater_score
1,Debater 2,1,2.0
1,Debater 4,2,1.0
1,Debater 1,3,0.0
1,Debater 3,3,0.0
2,Debater 1,1,2.0
2,Debater 4,1,2.0
2,Debater 5,3,1.0
2,Debater 2,4,0.0
2,Debater 3,4,0.0
3,Debater 4,1,4.0
3,Debater 3,2,1.0
3,Debater 1,3,0.0
3,Debater 2,3,0.0
3,Debater 5,3,0.0
5,Debater 3,1,2.0
5,Debater 5,2,1.0
5,Debater 1,3,0.0
5,Debater 2,3,0.0
5,Debater 4,3,0.0
6,Debater 1,1,3.0
6,Debater 2,2,0.0
6,Debater 3,2,0.0
6,Debater 4,2,0.0
7,Debater 2,1,3.0
7,Debater 1,2,0.0
7,Debater 3,2,0.0
7,Debater 4,2,0.0
8,Debater 1,1,1.0
8,Debater 2,2,0.0
8,Debater 3,2,0.0
9,Debater 1,1,2.0
9,Debater 2,2,1.0
9,Debater 3,3,0.0
9,Debater 4,3,0.0
10,Debater 1,1,1.0
10,Debater 4,1,1.0
10,Debater 2,3,0.0
10,Debater 3,3,0.0
11,Debater 3,1,2.0
11,Debater 1,2,1.0
11,Debater 2,3,0.0
11,Debater 4,3,0.0
11,Debater 5,3,0.0
12,Debater 3,1,3.0
12,Debater 1,2,0.0
12,Debater 2,2,0.0
12,Debater 4,2,0.0
13,Debater 3,1,1.0
13,Debater 1,2,0.0
13,Debater 2,2,0.0
14,Debater 2,1,3.0
14,Debater 1,2,0.0
14,Debater 3,2,0.0
14,Debater 4,2,0.0
14,Debater 5,2,0.0
16,Debater 3,1,4.0
16,Debater 2,2,1.0
16,Debater 1,3,0.0
16,Debater 4,3,0.0
16,Debater 5,3,0.0
17,Debater 1,1,nan
17,Debater 2,2,nan
17,Debater 3,3,nan
17,Debater 4,4,nan
17,Debater 5,5,nan
18,Debater 1,1,1.0
18,Debater 2,1,1.0
18,Debater 3,1,1.0
18,Debater 4,4,0.0
