debate_id,debater_name,debater_position,debater_score
1,Debater 2,1,8.5
1,Debater 1,2,8.2
1,Debater 3,3,8.0
1,Debater 4,4,7.8
2,Debater 5,1,8.8
2,Debater 4,2,8.5
2,Debater 1,3,8.2
2,Debater 2,4,7.8
2,Debater 3,5,7.5
3,Debater 4,1,8.5
3,Debater 1,2,8.2
3,Debater 2,3,7.8
3,Debater 3,4,7.5
3,Debater 5,5,7.0
5,Debater 3,1,8.5
5,Debater 2,2,8.0
5,Debater 5,2,8.0
5,Debater 1,4,7.5
5,Debater 4,5,7.0
6,Debater 1,1,8.2
6,Debater 4,2,7.8
6,Debater 2,3,7.5
6,Debater 3,4,7.0
7,Debater 4,1,8.2
7,Debater 2,2,8.0
7,Debater 3,3,7.8
7,Debater 1,4,7.5
8,Debater 1,1,8.2
8,Debater 3,2,7.9
8,Debater 2,3,7.7
9,Debater 1,1,8.2
9,Debater 4,2,8.0
9,Debater 2,3,7.8
9,Debater 3,4,7.0
10,Debater 4,1,8.8
10,Debater 2,2,8.5
10,Debater 1,3,8.2
10,Debater 3,4,7.0
11,Debater 5,1,9.1
11,Debater 3,2,8.8
11,Debater 1,3,8.2
11,Debater 4,4,7.9
11,Debater 2,5,7.5
12,Debater 3,1,9.0
12,Debater 4,2,8.8
12,Debater 2,3,8.2
12,Debater 1,4,7.5
13,Debater 3,1,8.8
13,Debater 2,2,8.2
13,Debater 1,3,7.5
14,Debater 2,1,8.5
14,Debater 5,2,8.0
14,Debater 4,3,7.6
14,Debater 1,4,7.2
14,Debater 3,5,6.8
16,Debater 3,1,8.0
16,Debater 1,2,7.5
16,Debater 5,2,7.5
16,Debater 2,4,7.0
16,Debater 4,5,6.5
17,Debater 2,1,8.8
17,Debater 4,2,8.5
17,Debater 1,3,8.2
17,Debater 3,4,7.5
18,Debater 2,1,8.5
18,Debater 1,2,8.2
18,Debater 3,3,8.0
18,Debater 4,4,7.8
